Source,Destination,Address,City,State,Lat long of A,Lat long of B,Source Lat,Source Long,Dest Lat,Dest Long,Distance (km)
Zolo BLR_Singasandra WH,Zolo Acropolis,"Behind Sri Sathya Sayeeshwari Vidhya Mandir (Ashraya School),Nagvara,Jogappa Layout,Nagavara.,Bangalore - 560032",Bangalore,Karnataka,"13.0402179, 77.61122069999999","12.8903965, 77.6273899",13.0402179,77.6112207,12.8903965,77.6273899,16.67
Zolo BLR_Singasandra WH,Zolo Aster,"No. 17/3, Dr. M H Marigowda Road, Madiwala, Bengaluru, Bengaluru Urban, Karnataka, 560068",Bangalore,Karnataka,"12.943776, 77.5972076","12.8903965, 77.6273899",12.943776,77.5972076,12.8903965,77.6273899,6.75
Zolo BLR_Singasandra WH,Zolo Elysium Hub,"Bearing No 258/3, Begur Hobli, Bommanahalli, Bengaluru, Bengaluru Urban, Karnataka,560068",Bangalore,Karnataka,"12.9039909, 77.627577","12.8903965, 77.6273899",12.9039909,77.627577,12.8903965,77.6273899,1.5
Zolo Faridabad Warehouse,Zolo Mansion Hub,"The,Dhaniram Complex,Gali no. 1 The,Gali Number 1,Sukhrali,Sector 17,Haryana,Gurugram - 122022",Gurugram,Haryana,"28.4743161, 77.0585826","28.4586177, 77.3070471",28.4743161,77.0585826,28.4586177,77.3070471,24.4
Zolo BLR_Singasandra WH,Zolo Bella Casa Hub,"Bearing No 19, Doddavenkatappa Block, Gangenahalli Dinnur Road, RT Nagar, Bengaluru, Bengaluru Urban, Karnataka, 560032",Bangalore,Karnataka,"13.0240332, 77.5986137","12.8903965, 77.6273899",13.0240332,77.5986137,12.8903965,77.6273899,15.11
Zolo BLR_Singasandra WH,Zolo Cosmoz Hub,"NO.35, KHATA NO.89, HOUSE LIST NO.35/2 NAGAWARA VILLAGE, KASABA, HOBLI, Nagawara, Bangalore , Karnataka 560045",Bangalore,Karnataka,"13.037159, 77.62425739999999","12.8903965, 77.6273899",13.037159,77.6242574,12.8903965,77.6273899,16.24
Zolo BLR_Singasandra WH,Zolo Creedence Hub,"7th Cross Road, Neeladri Nagar,, Electronics City Phase 1, Electronic City, Doddathoguru, Karnataka 560100, Bangalore, 560100",Bangalore,Karnataka,"12.8385071, 77.6485119","12.8903965, 77.6273899",12.8385071,77.6485119,12.8903965,77.6273899,6.18
Zolo BLR_Singasandra WH,Zolo Maiden Hub,"P. No 84/1C Ward No 152/SG, Maruthi Nagar, Madiwala New Extension, Bengaluru, Bengaluru Urban, Karnataka, 560068",Bangalore,Karnataka,"12.9258158, 77.6157877","12.8903965, 77.6273899",12.9258158,77.6157877,12.8903965,77.6273899,4.12
Zolo BLR_Singasandra WH,Zolo Jazz Hub,"Bearing No 20, 5th Cross, Beguru Hobli Bangalore South Taluk, Srinivagulu, Bengaluru, Bengaluru Urban, Karnataka, 560095",Bangalore,Karnataka,"12.9389553, 77.6302619","12.8903965, 77.6273899",12.9389553,77.6302619,12.8903965,77.6273899,5.38
Zolo Chennai Warehouse_2,Zolo Expresso Hub,"RAINTREE PARK APARTMENT, CENGUNTRAM ROAD, NR KALAIMAGAL SCHOOL,, SINGAPERUMAL KOVIL, CHENGALPATTU (TK), KANCHIPURAM(DIST), Chennai, 603404",Chennai,Tamil Nadu,"12.7587024, 80.0125748","13.0675449, 80.1491821",12.7587024,80.0125748,13.0675449,80.1491821,37.24
Zolo Chennai Warehouse_2,Zolo Apex Hub,"Plot no-29,30,31,32 Ramamurthy Avenue Kolapakkam village, taluk, Sriperumbudur, Chennai, Tamil Nadu ,600125",Chennai,Tamil Nadu,"13.0121983, 80.15704559999999","13.0675449, 80.1491821",13.0121983,80.1570456,13.0675449,80.1491821,6.18
Zolo Chennai Warehouse_2,Zolo Ascot Hub,"No:5, S Perumal Kovil St,, Vadapalani, Chennai, Tamil Nadu 600026, Chennai, 600026",Chennai,Tamil Nadu,"13.051662, 80.2150101","13.0675449, 80.1491821",13.051662,80.2150101,13.0675449,80.1491821,7.35
Zolo Chennai Warehouse_2,Zolo Lake Square Hub,"Plot No.2,Block No:3,Vendravasi amman koil street, Sholinganallur road, Karapakkam, Chennai, Chennai, 600097",Chennai,Tamil Nadu,"12.9139017, 80.2329602","13.0675449, 80.1491821",12.9139017,80.2329602,13.0675449,80.1491821,19.28
Zolo Coimbatore Warehouse,Zolo Tenet Hub,"Sri Nest Enclave Phase 1, 14,14/1 to 14/7, Subbaiya Layout, Near BSNL exchange,, Opp NGR School, Uppilipalayam post, CBE-15. 641015, Coimbatore, 641015",Coimbatore,Tamil Nadu,"11.017872, 77.0224418","11.0727077, 77.0185451",11.017872,77.0224418,11.0727077,77.0185451,6.08
Zolo Coimbatore Warehouse,Zolo Darshan Hub,"FCI Nagar, Vilankurichu,, Saravanampatti-Kalapatti Road, Coimbatore 641035, Coimbatore, 641035",Coimbatore,Tamil Nadu,"11.0737803, 77.0121331","11.0727077, 77.0185451",11.0737803,77.0121331,11.0727077,77.0185451,0.71
Zolo Hyderabad Warehouse,Zolo Bourbon Hub,"Plot No.102 in Survey No.69 Telecom Nagar, Gachibowli, Ranga Reddy District, Telangana, Hyderabad, 500032",Hyderabad,Telangana,"17.4336301, 78.36895659999999","17.51029, 78.385559",17.4336301,78.3689566,17.51029,78.385559,8.67
Zolo Pune Warehouse_New,Zolo Rainbow Hub,"Sr.No 188/5, Near Datta Mandir, Mauli Chowk, Opp. Eros Meadows Appt., Wakad, Pune, 411057",Pune,Maharashtra,"18.5983351, 73.7639531","18.6124747, 73.71542149999999",18.5983351,73.7639531,18.6124747,73.7154215,5.36
Zolo Pune Warehouse_New,Zolo Garnet Hub,"Datta Digambar Colony Rd, Warje Jakat Naka, Ingle Nagar, Warje, Pune, Maharashtra 411052, Pune, 411052",Pune,Maharashtra,"18.4814197, 73.8110074","18.6124747, 73.71542149999999",18.4814197,73.8110074,18.6124747,73.7154215,17.67
Zolo Pune Warehouse_New,Zolo Sparkle Hub,"Sr. No139, Hulawale wasti,, Sakhare Wasti Road, Hinjewadi., Pune, 411057",Pune,Maharashtra,"18.5838978, 73.7429252","18.6124747, 73.71542149999999",18.5838978,73.7429252,18.6124747,73.7154215,4.29
Zolo Faridabad Warehouse,Zolo Nivaas Hub,"Shop No. 126, Jai Hind Market, Near Dayal Public School,, Rao Balbir Singh Marg, A Block, Chakkarpur, Sector 28, Gurugram, Haryana, Gurugram-122002",Gurugram,Haryana,"28.4740423, 77.0873113","28.4586177, 77.3070471",28.4740423,77.0873113,28.4586177,77.3070471,21.59
Zolo Faridabad Warehouse,Zolo Bloom Hub,"Q1-16 D , South City -2 ,Sector 49, Gurgaon Haryana-122018, Gurugram-122018",Gurugram,Haryana,"28.4197531, 77.0493449","28.4586177, 77.3070471",28.4197531,77.0493449,28.4586177,77.3070471,25.61
Zolo Faridabad Warehouse,Zolo Beta Hub,"J-43, Sector - 58,, Bishanpura, Noida., Noida-201301",Noida,Uttar Pradesh,"28.6087345, 77.35448559999999","28.4586177, 77.3070471",28.6087345,77.3544856,28.4586177,77.3070471,17.27
Zolo Faridabad Warehouse,Zolo Kites Hub,"Choudhary Begraj Tower, Khasra No 30, Chakki Wali Gali,, Atta Village Sector -18, Noida-201301, Noida-201301",Noida,Uttar Pradesh,"28.571712, 77.3261955","28.4586177, 77.3070471",28.571712,77.3261955,28.4586177,77.3070471,12.67
Zolo Faridabad Warehouse,Zolo Cube Hub,"Behind Surbhi Hospital Village,Morna Sector 35, Dist Gautam buddha Nagar, U.P 201301, Noida-201301",Noida,Uttar Pradesh,"28.5791589, 77.3612529","28.4586177, 77.3070471",28.5791589,77.3612529,28.4586177,77.3070471,14.37
Zolo BLR_Singasandra WH,Zolo Dorian Hub,"Bearing Survey No. 73, Doddannekundi Village, KR Puram, Hobli,Hoodi, Bengaluru, 560048",Bangalore,Karnataka,"12.9895552, 77.71265710000002","12.8903965, 77.6273899",12.9895552,77.7126571,12.8903965,77.6273899,14.35
Zolo Hyderabad Warehouse,Zolo Sierra Hub,"KPHB 6th Phase Rd, Kukatpally Housing Board Colony,, Kukatpally, Hyderabad, Telangana 500072, Hyderabad, 500072",Hyderabad,Telangana,"17.4837957, 78.3902462","17.51029, 78.385559",17.4837957,78.3902462,17.51029,78.385559,2.97
Zolo Faridabad Warehouse,Zolo Youth Hub,"11/78B, satya niketan, near sharma automobiles, New Delhi, 110021, Delhi-110021",Delhi,Delhi,"28.5869804, 77.17019730000001","28.4586177, 77.3070471",28.5869804,77.1701973,28.4586177,77.3070471,19.54
Zolo Chennai Warehouse_2,Zolo Homestel Hub,"Plot No. 266 & 277, 10th Street, Farm Grove, Kazhipattur, Pincode 603203, Srinivasa Nagar, Tambaram, Chennai, Tamil Nadu 603203",Chennai,Tamil Nadu,"12.8235807, 80.2310428","13.0675449, 80.1491821",12.8235807,80.2310428,13.0675449,80.1491821,28.41
Zolo Pune Warehouse_New,Zolo Marvel Hub,"Hinjewadi, near IBM, Infosys, Wipro and many other IT companies in Pune, Pune, Maharashtra 411057",Pune,Maharashtra,"18.447354, 73.8137186","18.6124747, 73.71542149999999",18.447354,73.8137186,18.6124747,73.7154215,21.02
Zolo Pune Warehouse_New,Zolo Altius Hub,"Pandhari Nagar, Kharadi, Pune, Maharashtra 411014",Pune,Maharashtra,"18.5536472, 73.94074909999999","18.6124747, 73.71542149999999",18.5536472,73.9407491,18.6124747,73.7154215,24.66
Zolo Pune Warehouse_New,Zolo Avalon Hub,"Malwadi Rd, Keshav Chowk, near Marvel Bounty, Hadapsar, Pune, Maharashtra 411028",Pune,Maharashtra,"18.5110731, 73.9348799","18.6124747, 73.71542149999999",18.5110731,73.9348799,18.6124747,73.7154215,25.74
Zolo Chennai Warehouse_2,Zolo Millennium Hub,"132, Old Mahabalipuram Rd, Elcot Sez, Sholinganallur, Chennai, Tamil Nadu 600119",Chennai,Tamil Nadu,"12.8337773, 80.228667","13.0675449, 80.1491821",12.8337773,80.228667,13.0675449,80.1491821,27.26
Zolo Pune Warehouse_New,Zolo Kings Landing Hub,"Someshwar Wadi Rd, Near IISER, Ward No. 8, Someshwarwadi, Baner, Pune, Maharashtra 411008",Pune,Maharashtra,"18.5449686, 73.80735159999999","18.6124747, 73.71542149999999",18.5449686,73.8073516,18.6124747,73.7154215,12.25
Zolo Pune Warehouse_New,Zolo Crown Hub,"Vibgyor School Rd, behind Mohan Nagar Co-Op Society, Baner, Pune, Maharashtra 411021",Pune,Maharashtra,"18.5630437, 73.7522654","18.6124747, 73.71542149999999",18.5630437,73.7522654,18.6124747,73.7154215,6.71
Zolo BLR_Singasandra WH,Zolo Jude Hub,"1st Cross Rd, BHEL 2nd Stage, Pattanagere, RR Nagar, Bangalore, Karnataka 560098.",Bangalore,Karnataka,"12.9342815, 77.504976","12.8903965, 77.6273899",12.9342815,77.504976,12.8903965,77.6273899,14.14
Zolo Chennai Warehouse_2,Zolo Nine Gems Hub,"Anna university, Canal Bank Rd, Gandhi Nagar, Adyar, Chennai, Tamil Nadu 600020",Chennai,Tamil Nadu,"13.0049352, 80.2484768","13.0675449, 80.1491821",13.0049352,80.2484768,13.0675449,80.1491821,12.81
Zolo Faridabad Warehouse,Zolo Canvas Hub,"Mehrauli-Gurgaon Rd, Block C, Harjan Basti, Sector 17, Gurugram, Haryana 122007",Gurugram,Haryana,"28.4756315, 77.0614853","28.4586177, 77.3070471",28.4756315,77.0614853,28.4586177,77.3070471,24.12
Zolo Pune Warehouse_New,Zolo Moonstone Hub,"Shiv Kamal Nivas, S.N. 9/1,1, Plot No. D-27 , Ambegaon Budruk, Pune, 411041",Pune,Maharashtra,"18.455931, 73.84311799999999","18.6124747, 73.71542149999999",18.455931,73.843118,18.6124747,73.7154215,21.95
Zolo Chennai Warehouse_2,Zolo Proxy Hub,"Plot No 28 & 29, Common Santhanam St, Pushpa Nagar, Medavakkam, Chennai, Chennai, Tamil Nadu, 600100",Chennai,Tamil Nadu,"12.9197897, 80.1852327","13.0675449, 80.1491821",12.9197897,80.1852327,13.0675449,80.1491821,16.81
Zolo Pune Warehouse_New,Zolo Milan Hub,"Bearing No 302, Nutan Priyadarshani, 86 STY Relief Road Best Colony, Santacruz West,Mumbai, Mumbai Suburban, Maharashtra, 400054",Mumbai,Maharashtra,"19.0914163, 72.83430589999999","18.6124747, 73.71542149999999",19.0914163,72.8343059,18.6124747,73.7154215,106.92
Zolo Coimbatore Warehouse,Zolo Icon Hub,"63/7, Thudiyalur Road, Sankara College Bus Stop,, Saravanampatti, Coimbatore - 641035, Coimbatore, 641035",Coimbatore,Tamil Nadu,"11.0851427, 76.9847195","11.0727077, 77.0185451",11.0851427,76.9847195,11.0727077,77.0185451,3.94
Zolo Hyderabad Warehouse,Zolo Cyberwiz Hub,"APHB Colony, Jayabheri Enclave,, Gachibowli, Hyderabad, Telangana 500032, Hyderabad, 500032",Hyderabad,Telangana,"17.4505017, 78.360756","17.51029, 78.385559",17.4505017,78.360756,17.51029,78.385559,7.12
Zolo BLR_Singasandra WH,Zolo Orion Hub,"Bearing number 32 Ass no. 148/1-32, Kasba Hobli, Nagavara, Bengaluru, Bengaluru Urban,
Karnataka, 560077",Bangalore,Karnataka,"13.165214, 77.4092323","12.8903965, 77.6273899",13.165214,77.4092323,12.8903965,77.6273899,38.53
Zolo Faridabad Warehouse,Zolo Sparsh Hub,"M 35, Sector 66, Noida, U.P-201301, Noida-201301",Noida,Uttar Pradesh,"28.6055049, 77.3769437","28.4586177, 77.3070471",28.6055049,77.3769437,28.4586177,77.3070471,17.66
Zolo Faridabad Warehouse,Zolo Frontier Hub,"Village Hazipur, Tower BKO No, 237, Sector 104 Noida, Gautam Budha Nagar-201301, Noida-201301",Noida,Uttar Pradesh,"28.5393497, 77.36761419999999","28.4586177, 77.3070471",28.5393497,77.3676142,28.4586177,77.3070471,10.73
Zolo Coimbatore Warehouse,Coimbatore - SH NGI Hub,"Nehru Arts and Science College, Nehru College Rd, Thirumalayampalayam, Coimbatore Tamil Nadu 641105",Coimbatore,Tamil Nadu,"10.8706246, 76.92857719999999","11.0727077, 77.0185451",10.8706246,76.9285772,11.0727077,77.0185451,24.42
Zolo Coimbatore Warehouse,Coimbatore - SH KIT Hub,"KIT-KalaignarKarunanidhi Institute Of Technology, Pappampatti Rd, Pallapalayam, Kannampalayam, Coimbatore Tamil Nadu 641402.",Coimbatore,Tamil Nadu,"10.9993751, 77.08434369999999","11.0727077, 77.0185451",10.9993751,77.0843437,11.0727077,77.0185451,10.84
,Karur - SH MKCE Hub,"M Kumarasamy college of engineering, Thalavapalayam, Karur Tamil Nadu 639113",Karur,Tamil Nadu,"11.0542286, 78.0484523",,11.0542286,78.0484523,78.0484523,78.0484523,7444.78
,Trichy - SH KRCE Hub,"K Ramakrishnan College of Engineering (KRCE), Samayapuram - Kariyamanickam Rd, Trichy Tamil Nadu 621112",Trichy,Tamil Nadu,"10.9290962, 78.7381613",,10.9290962,78.7381613,78.7381613,78.7381613,7535.63
Zolo Coimbatore Warehouse,Kochi - SH JAI BHARATH Hub,"Jai Bharath College of Management and Engineering Technology, JB Campus, Perumbavoor-Puthenkurish Road, Arakkappady, Vengola, Perumbavoor, Ernakulam Kerala 683556",Ernakulam,Kerala,"10.0523028, 76.45410869999999","11.0727077, 77.0185451",10.0523028,76.4541087,11.0727077,77.0185451,128.67
Zolo BLR_Singasandra WH,Zolo Highstreet A Hub,"14 & 15, Sy no 35/2,Konappana Agrahara village Near Hosur, road, Electronic City Phase II, Bangalore, Karnataka 560100",Bangalore,Karnataka,"12.8426035, 77.675004","12.8903965, 77.6273899",12.8426035,77.675004,12.8903965,77.6273899,7.39
Zolo Pune Warehouse_New,SH PCCOE Hub,"MQ37+M3C, Nigdi Marg, near Akurdi Railway Station Road, Sector No. 26, Pradhikaran, Nigdi, Pimpri-Chinchwad, Pune Maharashtra 411044",Pune,Maharashtra,"18.6527241, 73.7601425","18.6124747, 73.71542149999999",18.6527241,73.7601425,18.6124747,73.7154215,6.49
Zolo BLR_Singasandra WH,SH MAHE Hub,"MAHE Campus,BSF Campus, Yelahanka, Bangalore, Karnataka 560064",Bangalore,Karnataka,"13.1233297, 77.5921877","12.8903965, 77.6273899",13.1233297,77.5921877,12.8903965,77.6273899,26.05
Zolo Pune Warehouse_New,Zolo Siddhartha Hub,"Prakash Thorat Marg, Sahadeep Colony, Chembur West, New Garib Janta Nagar, Chedda Nagar, Mumbai, Maharashtra 400089",Mumbai,Maharashtra,"19.0622304, 72.9023804","18.6124747, 73.71542149999999",19.0622304,72.9023804,18.6124747,73.7154215,99.1
Zolo BLR_Singasandra WH,Zolo Phoenix Hub,"Khata no. 1343/548, Jigani Hobli Anekal Taluk, Maragondahalli, Bengaluru, Bengaluru Urban, Karnataka, 560100",Bangalore,Karnataka,"12.8074636, 77.6236389","12.8903965, 77.6273899",12.8074636,77.6236389,12.8903965,77.6273899,9.18
Zolo BLR_Singasandra WH,Zolo Odyssey Hub,"Bearing No 1856, Stage 1 5th Block, HBR Layout, Bengaluru, Bengaluru Urban, Karnataka,560043",Bangalore,Karnataka,"13.039789, 77.62396799999999","12.8903965, 77.6273899",13.039789,77.623968,12.8903965,77.6273899,16.53
Zolo Coimbatore Warehouse,Zolo Gama Hub,"SF NO 340/2, Sowripalayam Village Peelamadu, Krishnarayapuram, Coimbatore, Coimbatore,Tamil Nadu, 641004",Coimbatore,Tamil Nadu,"11.0084717, 77.003171","11.0727077, 77.0185451",11.0084717,77.003171,11.0727077,77.0185451,7.3
Zolo Faridabad Warehouse,Zolo Mantion Hub,"hno 31/645, Gurugram Sukhrali, Sector 17 The, Dhaniram Complex, Gali Number 1, Gurugram, Haryana 122001",Gurugram,Haryana,"28.4824801, 77.0972005","28.4586177, 77.3070471",28.4824801,77.0972005,28.4586177,77.3070471,20.72
Zolo Chennai Warehouse_2,Zolo Throne Hub,"Rajiv Gandhi, OMR, Seevaram, Rajiv Gandhi Salai, Plot No 1-3, Perungudi, Chennai, Chennai, Tamil Nadu, 600096",Chennai,Tamil Nadu,"12.968854, 80.24913699999999","13.0675449, 80.1491821",12.968854,80.249137,13.0675449,80.1491821,15.39
Zolo BLR_Singasandra WH,Zolo Typhoon Hub,"Bearing No 8/05, 1st Cross, SG Palya,Sadduguntepalya Bengaluru, 560029",Bangalore,Karnataka,"12.9302077, 77.60772949999999","12.8903965, 77.6273899",12.9302077,77.6077295,12.8903965,77.6273899,4.89
Zolo BLR_Singasandra WH,Zolo Hemingway Hub,"No 151/534 Hulimangala Gram, Margondanahalli, Neeladri Road,Electronic City Phase 1, Bangalore, Karnataka",Bangalore,Karnataka,"12.8410924, 77.6498149","12.8903965, 77.6273899",12.8410924,77.6498149,12.8903965,77.6273899,5.97
,SH DMIMS Hub,"Sawangi (Meghe), Wardha, Maharashtra-442001",Wardha,Maharashtra,"20.7138507, 78.574072",,20.7138507,78.574072,78.574072,78.574072,6434.53
Zolo BLR_Singasandra WH,SH Mahe KMC Hub,"KMC Mangalore,Flat No G2, Aura Apartment ,Silva cross road, Valencia,Kankanady, Mangalore - 575002",Mangalore,Karnataka,"12.863287, 74.85551230000002","12.8903965, 77.6273899",12.863287,74.8555123,12.8903965,77.6273899,300.87
Zolo BLR_Singasandra WH,SH Mahe MIT Hub,"KMC Mangalore,Flat No G2, Aura Apartment ,Silva cross road, Valencia,Kankanady, Mangalore - 575002",Mangalore,Karnataka,"12.863287, 74.85551230000002","12.8903965, 77.6273899",12.863287,74.8555123,12.8903965,77.6273899,300.87
Zolo Pune Warehouse_New,Zolo Agora,"Sr. No. 62/1,Lane No 2,Rajaram Patil Nagar,Kharadi,Pue,Pune - 411014",Pune,Maharashtra,"18.5595137, 73.95432799999999","18.6124747, 73.71542149999999",18.5595137,73.954328,18.6124747,73.7154215,25.89
Zolo Pune Warehouse_New,Zolo Altius,"S.No.7/2, A Building, Nirman Altius, Pandhari Nagar, Behind Radisson Blue Hotel, Kharadi,Maharashtra,Pune - 411014",Pune,Maharashtra,"18.5530051, 73.9387376","18.6124747, 73.71542149999999",18.5530051,73.9387376,18.6124747,73.7154215,24.47
Zolo BLR_Singasandra WH,Zolo Amber,"BBMP Khatha No.2811-47/284/1/154,Munnekolala Village,Varthur Hobli,Bangalore - 560037",Bangalore,Karnataka,"12.9530189, 77.7088108","12.8903965, 77.6273899",12.9530189,77.7088108,12.8903965,77.6273899,11.23
Zolo Pune Warehouse_New,Zolo Ambitions,"Sr.No 106/2/10/1,Baner Road,Near Amar Busniness Park,Laxman Nagar,Baner,Maharashtra,Pune - 411045",Pune,Maharashtra,"18.5677136, 73.7680302","18.6124747, 73.71542149999999",18.5677136,73.7680302,18.6124747,73.7154215,7.44
Zolo Pune Warehouse_New,Zolo Amplify,"220, Rajiv Gandhi Infotech Park , Maan Road, Phase 1, Hinjewadi-Pune",Pune,Maharashtra,"18.5823129, 73.7265283","18.6124747, 73.71542149999999",18.5823129,73.7265283,18.6124747,73.7154215,3.54
Zolo Chennai Warehouse_2,Zolo Apex,"Plot No 30,Ramamurthy Avenue,(Opp. to Rainbow primary school),Kolapakkam,Tamil Nadu,Chennai - 600128",Chennai,Tamil Nadu,"13.0075378, 80.1514107","13.0675449, 80.1491821",13.0075378,80.1514107,13.0675449,80.1491821,6.64
Zolo Pune Warehouse_New,Zolo Arcadian,"Sr.No 141/1,Jayaram Nagar,Hinjewadi,Pune - 411057",Pune,Maharashtra,"18.5875731, 73.73866749999999","18.6124747, 73.71542149999999",18.5875731,73.7386675,18.6124747,73.7154215,3.69
,Zolo Aryabhata,"459, Modi College Rd,Dadabari Extension,Rajasthan,Kota - 324009",Kota,Rajasthan,"25.153537, 75.8317833",,25.153537,75.8317833,75.8317833,75.8317833,5636.72
Zolo BLR_Singasandra WH,Zolo Asmi,"1st Cross,Raghavendra Layout,Marathalli,Bangalore - 560037",Bangalore,Karnataka,"12.9550531, 77.7115044","12.8903965, 77.6273899",12.9550531,77.7115044,12.8903965,77.6273899,11.6
Zolo BLR_Singasandra WH,Zolo Atlantis,"KIADB Layout,Beside SBI Atm,1st Main Rd,Konappana Agrahara,Electronic ,Bangalore - 560100",Bangalore,Karnataka,"12.8538762, 77.6658963","12.8903965, 77.6273899",12.8538762,77.6658963,12.8903965,77.6273899,5.81
Zolo Chennai Warehouse_2,Zolo Athens,"No. 4 & 5, Thirumalai Nagar,, Perungudi, Chennai - 600096",Chennai,Tamil Nadu,"12.9619055, 80.2436324","13.0675449, 80.1491821",12.9619055,80.2436324,13.0675449,80.1491821,15.54
Zolo BLR_Singasandra WH,Zolo Aurora,"28, Munivenkatappa Layout, 4th Cross, Next to Nagawara Bridge, Nagawara Main Rd, Vyalikaval HBCS Layout, Nagavara, Bangalore Karnataka 560045",Bangalore,Karnataka,"13.0393121, 77.6238362","12.8903965, 77.6273899",13.0393121,77.6238362,12.8903965,77.6273899,16.48
Zolo BLR_Singasandra WH,Zolo Avni,"Bearing No. 1,BBMP SI. No. 1723,Sy.No.4/1 and 4/2,Krishnarajapura Hobli,Bangalore - 560066",Bangalore,Karnataka,"13.005558, 77.7072238","12.8903965, 77.6273899",13.005558,77.7072238,12.8903965,77.6273899,15.41
Zolo Faridabad Warehouse,Zolo Avenue,"Zolo Avenue,T29/9,Off Molsari Avenue Road,DLF Phase 3,Sector 24,Gurugram - 122002",Gurugram,Haryana,"28.4930253, 77.1023204","28.4586177, 77.3070471",28.4930253,77.1023204,28.4586177,77.3070471,20.41
Zolo BLR_Singasandra WH,Zolo Candeo,"7th Cross Road,Neeladri Nagar,Electronic City,Phase 1,Karnataka,Bangalore - 560100",Bangalore,Karnataka,"12.8385071, 77.6485119","12.8903965, 77.6273899",12.8385071,77.6485119,12.8903965,77.6273899,6.18
Zolo Pune Warehouse_New,Zolo Beehive,"S No. 75/3/2,Opp. Sant Tukaram Karyalaya,Near Kasturi Resorts,Wakad-Hinjewadi Road,Wakad,Pune - 411057",Pune,Maharashtra,"18.5996513, 73.74495569999999","18.6124747, 73.71542149999999",18.5996513,73.7449557,18.6124747,73.7154215,3.42
Zolo Pune Warehouse_New,Zolo Blissful,"Sr.No- 258/1/3,Mukai Nagar,, Hinjawadi, Pune, Maharashtra-411057",Pune,Maharashtra,"18.5970253, 73.7315771","18.6124747, 73.71542149999999",18.5970253,73.7315771,18.6124747,73.7154215,2.41
Zolo Chennai Warehouse_2,Zolo Bohemia,"No.38/39,Murugesan Nagar,Thoraipakkam,Chennai - 600097",Chennai,Tamil Nadu,"12.9271969, 80.2420185","13.0675449, 80.1491821",12.9271969,80.2420185,13.0675449,80.1491821,18.51
Zolo Faridabad Warehouse,Zolo Breeze,"Khasra No. 342,Near T29/10 Road,Opposite Hanuman Mandir,Village Nathupur,Gurgaon,Haryana,Gurugram - 122001",Gurugram,Haryana,"28.4432259, 76.93957569999999","28.4586177, 77.3070471",28.4432259,76.9395757,28.4586177,77.3070471,36.03
Zolo BLR_Singasandra WH,Zolo Carnations,"GM Narayan Reddy Layout,Rajarajeshwari Temple Road Cross,Electronic Phase-2,Bangalore - 560100",Bangalore,Karnataka,"12.8488937, 77.67338699999999","12.8903965, 77.6273899",12.8488937,77.673387,12.8903965,77.6273899,6.78
Zolo Faridabad Warehouse,Zolo Canvas,"Opposite Primary Girls School,Sector 17,Sukhrali Village,Haryana,Gurugram - 122005",Gurugram,Haryana,"28.4770788, 77.0600442","28.4586177, 77.3070471",28.4770788,77.0600442,28.4586177,77.3070471,24.28
Zolo BLR_Singasandra WH,Zolo Cinnamon,"Spice Garden Layout,Lakshminarayana Pura,AECS Layout,Marathahalli,Bangalore - 560037",Bangalore,Karnataka,"12.9580044, 77.7089009","12.8903965, 77.6273899",12.9580044,77.7089009,12.8903965,77.6273899,11.58
Zolo Chennai Warehouse_2,Zolo Del Mar,"2/546 East Coast Road,Near Sea Shore SAnthony'S Church. Neelankarai,Tamil Nadu,Chennai - 600041",Chennai,Tamil Nadu,"12.9479619, 80.24918009999999","13.0675449, 80.1491821",12.9479619,80.2491801,13.0675449,80.1491821,17.11
Zolo BLR_Singasandra WH,Zolo Clove,"Marathahalli, near Accenture, Capgemini, Dell, Samsung and others IT Parks, Bengaluru, Bangalore-Karnataka 560016",Bangalore,Karnataka,"12.9885389, 77.5922981","12.8903965, 77.6273899",12.9885389,77.5922981,12.8903965,77.6273899,11.51
Zolo BLR_Singasandra WH,Zolo Corona,"09,Munivenkatappa Layout,4th cross,Vyalikaval HBCS Layout,Nagavara,Bangalore - 560045",Bangalore,Karnataka,"13.0401296, 77.6224143","12.8903965, 77.6273899",13.0401296,77.6224143,12.8903965,77.6273899,16.57
Zolo BLR_Singasandra WH,Zolo Cosmos,"Philomena Hospital Road,Nagawara 5th Block,Bangalore - 560045",Bangalore,Karnataka,"13.0395207, 77.6210741","12.8903965, 77.6273899",13.0395207,77.6210741,12.8903965,77.6273899,16.51
Zolo BLR_Singasandra WH,Zolo Destiny,"Property bearing Municipal No. New 20,2nd Main Road,Chikka Adugodi Extension,Madiwala,Bangalore - 560068",Bangalore,Karnataka,"12.9242902, 77.61578229999999","12.8903965, 77.6273899",12.9242902,77.6157823,12.8903965,77.6273899,3.96
Zolo Pune Warehouse_New,Zolo Crown,"Zolo Crown ,Sr. No.30,Near VIBGYOR School,Baner Sus Road,Pune - 411021",Pune,Maharashtra,"18.5587201, 73.7623313","18.6124747, 73.71542149999999",18.5587201,73.7623313,18.6124747,73.7154215,7.74
,Zolo Crystal,"Electronic Complex, Indraprastha Industrial Area, Kota, Rajasthan",Kota,Rajasthan,"25.1470464, 75.85806699999999",,25.1470464,75.858067,75.858067,75.858067,5640.37
