Source,Destination,Address,City,State,Lat long of A,Lat long of B,Source Lat,Source Long,Dest Lat,Dest Long,Distance (km)
Zolo BLR_Singasandra WH,Zolo Vamos,"No.20,Bhoomika Layout,Pattanagere,RR Nagar,Bangalore - 560098",Bangalore,Karnataka,"12.9247714, 77.5066609","12.8903965, 77.6273899",12.9247714,77.5066609,12.8903965,77.6273899,13.64
Zolo BLR_Singasandra WH,Zolo Scarlet,"MS Ramaiah North Rd,Manyata Tech Park,Thanisandra,Karnataka ,Bangalore - 560045",Bangalore,Karnataka,"13.0466155, 77.62504369999999","12.8903965, 77.6273899",13.0466155,77.6250437,12.8903965,77.6273899,17.28
Zolo BLR_Singasandra WH,Zolo Creedence,"7th Cross Road,Neeladri Nagar,Electronics Phase 1,Electronic ,Doddathoguru,Karnataka,Bangalore - 560100",Bangalore,Karnataka,"12.8385071, 77.6485119","12.8903965, 77.6273899",12.8385071,77.6485119,12.8903965,77.6273899,6.18
Zolo Pune Warehouse_New,Zolo Beyond,"S. No .129/2/37,129/2/12,Sukhkarta colony,Morya Heights,Chandramauli Garden,Kalakhadak,Wakad,Pune - 411057",Pune,Maharashtra,"18.6077276, 73.75505489999999","18.6124747, 73.71542149999999",18.6077276,73.7550549,18.6124747,73.7154215,4.22
Zolo Chennai Warehouse_2,Zolo Happinest,"74, Thirukkatchur, Village, Chengalpattu, Tamil Nadu 603204-Chennai",Chennai,Tamil Nadu,"13.0826802, 80.2707184","13.0675449, 80.1491821",13.0826802,80.2707184,13.0675449,80.1491821,13.29
Zolo BLR_Singasandra WH,Zolo Cronos,"No. 121, and 121/A, Khata no. 3736/350/121-121-A, Thanisandra Village, K.R. Puram Hobli, Bengaluru, Bengaluru Urban, Karnataka, 560077",Bangalore,Karnataka,"13.0559193, 77.6324513","12.8903965, 77.6273899",13.0559193,77.6324513,12.8903965,77.6273899,18.32
Zolo Chennai Warehouse_2,Zolo Milano,"S.No: 165/2A,166/2,MILANO ORCHARD,G.S.T Main Rd,Urapakkam,Tamil Nadu,Chennai - 603202",Chennai,Tamil Nadu,"12.8673697, 80.0698575","13.0675449, 80.1491821",12.8673697,80.0698575,13.0675449,80.1491821,23.76
Zolo Chennai Warehouse_2,Zolo T20,"354/4 ,Vivekanandan Street,Okkiyampattai Thuraipakkam,Chennai - 600097",Chennai,Tamil Nadu,"12.9268413, 80.2322976","13.0675449, 80.1491821",12.9268413,80.2322976,13.0675449,80.1491821,17.99
Zolo Chennai Warehouse_2,Zolo Regalia,"Kailash Nagar, Perumbakkam, Chennai, Tamil Nadu 600100",Chennai,Tamil Nadu,"12.9052813, 80.2035463","13.0675449, 80.1491821",12.9052813,80.2035463,13.0675449,80.1491821,18.9
Zolo BLR_Singasandra WH,Zolo Sepia,"#12, 4th Cross Road, Sir M.V. Layout, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045-Bangalore",Bangalore,Karnataka,"13.0463557, 77.6255131","12.8903965, 77.6273899",13.0463557,77.6255131,12.8903965,77.6273899,17.26
